'82741009';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360067';'2014-09-26 17:00:37';'4278190080';'';'';'';'';''
'82741070';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360070';'2014-09-26 17:00:42';'4278190080';'';'';'';'';''
'83002163';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360074';'2014-09-26 17:01:47';'0';'';'';'';'';''
'82741135';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360077';'2014-09-26 17:04:32';'0';'';'';'';'';''
'82741349';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360106';'2014-09-26 16:06:31';'0';'';'';'';'';''
'83010119';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360108';'2014-09-26 17:05:41';'0';'';'';'';'';''
'82741418';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360114';'2014-09-26 16:06:36';'0';'';'';'';'';''
'82741448';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360115';'2014-09-26 16:06:50';'0';'';'';'';'';''
'82741537';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360131';'2014-09-26 17:01:32';'0';'';'';'';'';''
'82741555';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360132';'2014-09-26 17:02:32';'0';'';'';'';'';''
'82741584';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360133';'2014-09-26 17:03:32';'0';'';'';'';'';''
'82741621';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360136';'2014-09-26 17:06:52';'0';'';'';'';'';''
'82741650';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360136';'2014-09-26 17:06:52';'0';'';'';'';'';''
'83010730';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360136';'2014-09-26 17:06:52';'0';'';'';'';'';''
'82741705';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360141';'2014-09-26 17:07:19';'0';'';'';'';'';''
'82741771';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360146';'2014-09-26 17:07:20';'0';'';'';'';'';''
'82741799';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360146';'2014-09-26 17:07:20';'0';'';'';'';'';''
'83011259';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360149';'2014-09-26 17:08:12';'0';'';'';'';'';''
'83011201';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360149';'2014-09-26 17:08:12';'0';'';'';'';'';''
'83011230';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360149';'2014-09-26 17:08:12';'0';'';'';'';'';''
'82742106';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360191';'2014-09-26 17:09:21';'0';'';'';'';'';''
'82743151';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360352';'2014-09-26 17:22:31';'4278190080';'';'';'';'';''
'82743230';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360360';'2014-09-26 17:22:36';'4278190080';'';'';'';'';''
'83011721';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360361';'2014-09-26 17:22:41';'0';'';'';'';'';''
'83011766';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360369';'2014-09-26 17:22:46';'0';'';'';'';'';''
'82743308';'30990';'Uncal Grain Force';'0.0000000000';'0.0010000000';'4727';'33360370';'2014-09-26 17:23:21';'0';'';'';'';'';''
