'80582393';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049265';'2014-08-21 19:39:17';'0';'';'';'';'';''
'80582454';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049271';'2014-08-21 19:40:17';'0';'';'';'';'';''
'80582595';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049280';'2014-08-21 19:41:17';'0';'';'';'';'';''
'80582692';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049293';'2014-08-21 19:42:18';'0';'';'';'';'';''
'80582758';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049299';'2014-08-21 19:43:18';'0';'';'';'';'';''
'80582820';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049305';'2014-08-21 19:44:17';'0';'';'';'';'';''
'80582881';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049311';'2014-08-21 19:45:18';'0';'';'';'';'';''
'80582942';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049317';'2014-08-21 19:46:18';'0';'';'';'';'';''
'80583015';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049326';'2014-08-21 19:47:17';'0';'';'';'';'';''
'80583105';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049339';'2014-08-21 19:48:17';'0';'';'';'';'';''
'80583167';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049346';'2014-08-21 19:49:18';'0';'';'';'';'';''
'80583228';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049351';'2014-08-21 19:50:17';'0';'';'';'';'';''
'80583385';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049359';'2014-08-21 19:51:18';'0';'';'';'';'';''
'80583446';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049365';'2014-08-21 19:52:18';'0';'';'';'';'';''
'80583530';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049371';'2014-08-21 19:53:18';'0';'';'';'';'';''
'80583584';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049377';'2014-08-21 19:54:17';'0';'';'';'';'';''
'80583661';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049384';'2014-08-21 19:55:18';'0';'';'';'';'';''
'80583738';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049392';'2014-08-21 19:56:17';'2';'';'';'';'';''
'80583847';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049401';'2014-08-21 19:57:17';'2';'';'';'';'';''
'80583913';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049408';'2014-08-21 19:58:17';'2';'';'';'';'';''
'80583975';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049418';'2014-08-21 19:59:18';'2';'';'';'';'';''
'80584036';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049424';'2014-08-21 20:00:18';'2';'';'';'';'';''
'80584097';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049430';'2014-08-21 20:01:18';'2';'';'';'';'';''
'80584158';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049439';'2014-08-21 20:02:17';'2';'';'';'';'';''
'80584184';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33049441';'2014-08-21 20:02:26';'2';'';'';'';'';''
'80748450';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33076042';'2014-08-27 13:49:38';'2';'';'';'';'';''
'80983243';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33110947';'2014-09-02 17:39:55';'2';'';'';'';'';''
'80983274';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33110950';'2014-09-02 17:38:56';'2';'';'';'';'';''
'80983345';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33110956';'2014-09-02 17:41:09';'2';'';'';'';'';''
'80983366';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33110960';'2014-09-02 17:40:54';'2';'';'';'';'';''
'80986145';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33111357';'2014-09-02 18:33:09';'2';'';'';'';'';''
'81711519';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234323';'2014-09-16 17:30:37';'2';'';'';'';'';''
'81711558';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234327';'2014-09-16 17:31:32';'0';'';'';'';'';''
'81711579';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234328';'2014-09-16 17:31:42';'0';'';'';'';'';''
'81711629';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234336';'2014-09-16 17:33:26';'0';'';'';'';'';''
'81711687';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234342';'2014-09-16 17:32:27';'0';'';'';'';'';''
'81711736';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234346';'2014-09-16 17:34:43';'0';'';'';'';'';''
'81711781';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234348';'2014-09-16 17:30:47';'2';'';'';'';'';''
'81711804';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234349';'2014-09-16 17:30:52';'2';'';'';'';'';''
'81711911';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234360';'2014-09-16 17:31:17';'2';'';'';'';'';''
'81711932';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234362';'2014-09-16 17:31:22';'2';'';'';'';'';''
'81711971';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234365';'2014-09-16 17:31:47';'0';'';'';'';'';''
'81711992';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234366';'2014-09-16 17:31:52';'0';'';'';'';'';''
'81712041';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234370';'2014-09-16 17:36:31';'0';'';'';'';'';''
'81712062';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234370';'2014-09-16 17:36:31';'0';'';'';'';'';''
'81712083';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234370';'2014-09-16 17:36:31';'0';'';'';'';'';''
'81712104';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234371';'2014-09-16 17:37:27';'0';'';'';'';'';''
'81712160';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234381';'2014-09-16 17:38:26';'0';'';'';'';'';''
'82997972';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234390';'2014-09-16 17:36:37';'0';'';'';'';'';''
'81712210';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234391';'2014-09-16 17:31:57';'0';'';'';'';'';''
'81712231';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234392';'2014-09-16 17:32:01';'0';'';'';'';'';''
'81712252';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234393';'2014-09-16 17:32:06';'0';'';'';'';'';''
'81712273';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234394';'2014-09-16 17:39:27';'0';'';'';'';'';''
'81712323';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234401';'2014-09-16 17:32:10';'0';'';'';'';'';''
'81712344';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234402';'2014-09-16 17:32:16';'0';'';'';'';'';''
'81712365';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234403';'2014-09-16 17:32:22';'0';'';'';'';'';''
'81712386';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234404';'2014-09-16 17:32:32';'0';'';'';'';'';''
'81712436';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234416';'2014-09-16 17:32:37';'0';'';'';'';'';''
'81712457';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234417';'2014-09-16 17:32:41';'0';'';'';'';'';''
'81712478';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234418';'2014-09-16 17:32:47';'0';'';'';'';'';''
'81712499';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234419';'2014-09-16 17:32:52';'0';'';'';'';'';''
'83000759';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234420';'2014-09-16 17:41:29';'0';'';'';'';'';''
'81712549';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234428';'2014-09-16 17:32:55';'0';'';'';'';'';''
'81712570';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234429';'2014-09-16 17:33:01';'0';'';'';'';'';''
'81712591';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234430';'2014-09-16 17:33:06';'0';'';'';'';'';''
'81712612';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234431';'2014-09-16 17:33:11';'0';'';'';'';'';''
'81712667';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234433';'2014-09-16 17:41:47';'0';'';'';'';'';''
'81712646';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234433';'2014-09-16 17:41:47';'0';'';'';'';'';''
'81712688';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234433';'2014-09-16 17:41:47';'0';'';'';'';'';''
'83000185';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234434';'2014-09-16 17:40:48';'0';'';'';'';'';''
'81712743';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33234442';'2014-09-16 17:42:15';'0';'';'';'';'';''
'82741133';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33360077';'2014-09-26 17:04:32';'0';'';'';'';'';''
'82741215';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33360085';'2014-09-16 17:33:17';'0';'';'';'';'';''
'82741236';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33360086';'2014-09-16 17:33:21';'0';'';'';'';'';''
'82741257';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33360087';'2014-09-16 17:33:30';'0';'';'';'';'';''
'82741278';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33360088';'2014-09-16 17:33:37';'0';'';'';'';'';''
'82741321';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33360096';'2014-09-16 17:42:03';'0';'';'';'';'';''
'83010117';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33360108';'2014-09-26 17:05:41';'0';'';'';'';'';''
'82741416';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33360114';'2014-09-26 16:06:36';'0';'';'';'';'';''
'82741446';'30912';'Work Status On/Off';'0.0000000000';'1.0000000000';'4727';'33360115';'2014-09-26 16:06:50';'0';'';'';'';'';''
